,parameters_2019,precision_2019,parameters_2018,precision_2018,parameters_2017,precision_2017,mean
0,"{'penalty': 'l2', 'C': 0.001, 'random_state': 0}",0.987597911227154,"{'penalty': 'l2', 'C': 0.001, 'random_state': 0}",0.9846968805179518,"{'penalty': 'l2', 'C': 0.001, 'random_state': 0}",0.9649581589958159,0.9790843169136405
0,"{'penalty': 'l2', 'C': 0.01, 'random_state': 0}",0.9840038778477945,"{'penalty': 'l2', 'C': 0.01, 'random_state': 0}",0.9847504621072088,"{'penalty': 'l2', 'C': 0.01, 'random_state': 0}",0.9405981155264236,0.9697841518271423
0,"{'penalty': 'l2', 'C': 0.1, 'random_state': 0}",0.9810981098109811,"{'penalty': 'l2', 'C': 0.1, 'random_state': 0}",0.9711623779946761,"{'penalty': 'l2', 'C': 0.1, 'random_state': 0}",0.9209702660406885,0.9577435846154486
0,"{'penalty': 'l2', 'C': 1, 'random_state': 0}",0.9779054352629253,"{'penalty': 'l2', 'C': 1, 'random_state': 0}",0.9723756906077348,"{'penalty': 'l2', 'C': 1, 'random_state': 0}",0.9129267357115458,0.9544026205274019
0,"{'penalty': 'l2', 'C': 10, 'random_state': 0}",0.973568281938326,"{'penalty': 'l2', 'C': 10, 'random_state': 0}",0.9635099913119027,"{'penalty': 'l2', 'C': 10, 'random_state': 0}",0.9126101954771944,0.9498961562424744
0,"{'penalty': 'l2', 'C': 100, 'random_state': 0}",0.9763392857142857,"{'penalty': 'l2', 'C': 100, 'random_state': 0}",0.9631236442516269,"{'penalty': 'l2', 'C': 100, 'random_state': 0}",0.90284178187404,0.9474349039466509
0,"{'penalty': 'none', 'C': 0.001, 'random_state': 0}",0.9765590446704998,"{'penalty': 'none', 'C': 0.001, 'random_state': 0}",0.9614230604372053,"{'penalty': 'none', 'C': 0.001, 'random_state': 0}",0.9014948256036796,0.9464923102371282
0,"{'penalty': 'none', 'C': 0.01, 'random_state': 0}",0.9765590446704998,"{'penalty': 'none', 'C': 0.01, 'random_state': 0}",0.9614230604372053,"{'penalty': 'none', 'C': 0.01, 'random_state': 0}",0.9014948256036796,0.9464923102371282
0,"{'penalty': 'none', 'C': 0.1, 'random_state': 0}",0.9765590446704998,"{'penalty': 'none', 'C': 0.1, 'random_state': 0}",0.9614230604372053,"{'penalty': 'none', 'C': 0.1, 'random_state': 0}",0.9014948256036796,0.9464923102371282
0,"{'penalty': 'none', 'C': 1, 'random_state': 0}",0.9765590446704998,"{'penalty': 'none', 'C': 1, 'random_state': 0}",0.9614230604372053,"{'penalty': 'none', 'C': 1, 'random_state': 0}",0.9014948256036796,0.9464923102371282
0,"{'penalty': 'none', 'C': 10, 'random_state': 0}",0.9765590446704998,"{'penalty': 'none', 'C': 10, 'random_state': 0}",0.9614230604372053,"{'penalty': 'none', 'C': 10, 'random_state': 0}",0.9014948256036796,0.9464923102371282
0,"{'penalty': 'none', 'C': 100, 'random_state': 0}",0.9765590446704998,"{'penalty': 'none', 'C': 100, 'random_state': 0}",0.9614230604372053,"{'penalty': 'none', 'C': 100, 'random_state': 0}",0.9014948256036796,0.9464923102371282
0,"{'penalty': 'none', 'C': 1000, 'random_state': 0}",0.9765590446704998,"{'penalty': 'none', 'C': 1000, 'random_state': 0}",0.9614230604372053,"{'penalty': 'none', 'C': 1000, 'random_state': 0}",0.9014948256036796,0.9464923102371282
0,"{'penalty': 'l2', 'C': 1000, 'random_state': 0}",0.9726378794356563,"{'penalty': 'l2', 'C': 1000, 'random_state': 0}",0.9626898047722343,"{'penalty': 'l2', 'C': 1000, 'random_state': 0}",0.9001919385796545,0.9451732075958484
